model,quantization,language,problem,pass
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_10_make_palindrome,0
deepseekcoder-7b,8bit,java,HumanEval_58_common,1
deepseekcoder-7b,8bit,java,HumanEval_58_common,0
deepseekcoder-7b,8bit,java,HumanEval_58_common,1
deepseekcoder-7b,8bit,java,HumanEval_58_common,1
deepseekcoder-7b,8bit,java,HumanEval_58_common,0
deepseekcoder-7b,8bit,java,HumanEval_58_common,1
deepseekcoder-7b,8bit,java,HumanEval_58_common,1
deepseekcoder-7b,8bit,java,HumanEval_58_common,0
deepseekcoder-7b,8bit,java,HumanEval_58_common,1
deepseekcoder-7b,8bit,java,HumanEval_58_common,1
deepseekcoder-7b,8bit,java,HumanEval_58_common,0
deepseekcoder-7b,8bit,java,HumanEval_58_common,0
deepseekcoder-7b,8bit,java,HumanEval_58_common,1
deepseekcoder-7b,8bit,java,HumanEval_58_common,1
deepseekcoder-7b,8bit,java,HumanEval_58_common,1
deepseekcoder-7b,8bit,java,HumanEval_58_common,0
deepseekcoder-7b,8bit,java,HumanEval_58_common,1
deepseekcoder-7b,8bit,java,HumanEval_58_common,0
deepseekcoder-7b,8bit,java,HumanEval_58_common,1
deepseekcoder-7b,8bit,java,HumanEval_58_common,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_116_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,1
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,0
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,0
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,0
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,1
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,1
