"","base_precision","quant_precision","lng","model","p.value","OR"
"13","16bit","8bit","java","deepseekcoder-7b",0.590460424977928,0.919597989949749
"14","16bit","4bit","java","deepseekcoder-7b",0.958879595349973,1.01069518716578
"15","16bit","3bit","java","deepseekcoder-7b",8.89388278858299e-08,1.68604651162791
"16","16bit","2bit","java","deepseekcoder-7b",9.24060184065126e-111,7.7764705882353
"9","16bit","8bit","py","deepseekcoder-7b",0.529989983409684,0.931216931216931
"10","16bit","4bit","py","deepseekcoder-7b",0.499505437982566,1.0969387755102
"11","16bit","3bit","py","deepseekcoder-7b",1.22932158586735e-11,1.89940828402367
"12","16bit","2bit","py","deepseekcoder-7b",2.99054679100402e-113,7.89411764705882
"5","16bit","8bit","java","codellama-7b",0.305635670582159,1.12345679012346
"6","16bit","4bit","java","codellama-7b",0.019966662368094,1.29447852760736
"7","16bit","3bit","java","codellama-7b",8.00641756023027e-19,2.52100840336134
"8","16bit","2bit","java","codellama-7b",2.41955459313667e-140,20.8275862068966
"1","16bit","8bit","py","codellama-7b",0.901129713336932,1.0234375
"2","16bit","4bit","py","codellama-7b",0.285672887339729,1.16666666666667
"3","16bit","3bit","py","codellama-7b",6.10934415517368e-21,2.88421052631579
"4","16bit","2bit","py","codellama-7b",1.40510777589657e-83,7.85714285714286
